Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
50.0,No,Non-Travel,145,,1,3.0,Life Sciences,1,1040,4.0,Female,95,3,2,Sales Executive,3.0,,6347.0,24920,0,Y,No,12,,1,80,1,19.0,3,3,18.0,7,0,13
,,Travel_Rarely,885,Research & Development,16,4.0,Life Sciences,1,1042,3.0,Female,43,4,1,Laboratory Technician,,,2743.0,8269,1,Y,No,16,,3,80,0,18.0,1,3,,13,15,14
,,Travel_Frequently,945,,22,,Medical,1,1043,,Female,82,3,3,,,,,5083,1,Y,Yes,13,,3,80,0,21.0,2,3,,6,2,8
33.0,No,Non-Travel,1038,Sales,8,,Life Sciences,1,1044,2.0,Female,88,2,1,Sales Representative,4.0,Single,2342.0,21437,0,Y,No,19,,4,80,0,3.0,2,2,2.0,2,2,2
45.0,No,Travel_Rarely,1234,Sales,11,,Life Sciences,1,1045,4.0,Female,90,3,4,Manager,,Married,,5404,3,Y,No,13,3.0,2,80,1,26.0,4,4,,3,1,1
,No,Non-Travel,1109,Research & Development,29,,Medical,1,1046,,Female,69,3,1,Laboratory Technician,3.0,,4025.0,11135,9,Y,No,12,3.0,2,80,0,,2,3,,7,7,7
,No,Travel_Rarely,216,Sales,1,,Marketing,1,1047,2.0,Male,75,4,2,Sales Executive,4.0,Divorced,,12278,0,Y,No,11,3.0,4,80,1,16.0,2,2,,1,0,9
59.0,,Travel_Rarely,1089,,1,,Technical Degree,1,1048,2.0,Male,66,3,3,,4.0,,,11038,3,Y,Yes,14,3.0,3,80,1,14.0,1,1,,4,0,4
45.0,,Travel_Rarely,788,,24,4.0,Medical,1,1049,2.0,Male,36,3,1,Human Resources,2.0,Single,2177.0,8318,1,Y,No,16,,1,80,0,,3,3,,3,0,4
53.0,No,Travel_Frequently,124,Sales,2,,Marketing,1,1050,,Female,38,2,3,Sales Executive,2.0,Married,,23537,2,Y,No,12,,1,80,1,,2,3,15.0,7,6,12
,Yes,Travel_Rarely,660,Research & Development,15,,Other,1,1052,1.0,Male,81,3,2,,3.0,Divorced,4834.0,7858,7,Y,No,14,3.0,2,80,1,,3,2,1.0,0,0,0
,,Travel_Frequently,342,Research & Development,2,3.0,Life Sciences,1,1053,1.0,Male,57,3,1,,1.0,,,15346,6,Y,Yes,14,,2,80,1,6.0,2,3,,2,1,2
34.0,,Travel_Rarely,1333,,10,,Life Sciences,1,1055,3.0,Female,87,3,1,Sales Representative,3.0,,2220.0,18410,1,Y,Yes,19,3.0,4,80,1,,2,3,1.0,1,0,0
,,Travel_Rarely,1144,Sales,10,1.0,Medical,1,1056,,Male,74,3,1,,,,1052.0,23384,1,Y,No,22,,2,80,0,,5,3,1.0,0,0,0
38.0,No,Travel_Frequently,1186,,3,4.0,Other,1,1060,,Male,44,3,1,Research Scientist,3.0,Married,,2997,3,Y,No,16,,1,80,1,8.0,2,3,2.0,2,2,2
50.0,No,Travel_Rarely,1464,Research & Development,2,,Medical,1,1061,,Male,62,3,5,Research Director,3.0,Married,19237.0,12853,2,Y,Yes,11,3.0,4,80,1,29.0,2,2,8.0,1,7,7
37.0,,Travel_Rarely,124,Research & Development,3,3.0,Other,1,1062,,Female,35,3,2,,,,4107.0,13848,3,Y,No,15,3.0,1,80,0,8.0,3,2,4.0,3,0,1
40.0,,Travel_Rarely,300,Sales,26,,Marketing,1,1066,3.0,Male,74,3,2,,1.0,,8396.0,22217,1,Y,No,14,,2,80,1,,3,2,,7,7,5
26.0,No,Travel_Frequently,921,Research & Development,1,1.0,Medical,1,1068,,Female,66,2,1,,,Divorced,2007.0,25265,1,Y,No,13,3.0,3,80,2,,5,3,5.0,3,1,3
46.0,No,Travel_Rarely,430,,1,4.0,Medical,1,1069,,Male,40,3,5,Research Director,,Divorced,19627.0,21445,9,Y,No,17,3.0,4,80,2,23.0,0,3,2.0,2,2,2
,No,Travel_Rarely,1082,Sales,2,,Life Sciences,1,1070,,Female,41,2,3,,3.0,,10686.0,8392,6,Y,No,11,,2,80,1,13.0,4,3,9.0,4,7,0
56.0,No,Travel_Frequently,1240,Research & Development,9,3.0,Medical,1,1071,1.0,Female,63,3,1,Research Scientist,,Married,,12154,2,Y,No,19,3.0,2,80,1,18.0,4,3,,4,0,3
36.0,No,Travel_Rarely,796,Research & Development,12,5.0,Medical,1,1073,4.0,Female,51,2,3,Manufacturing Director,,,,15669,0,Y,No,11,,2,80,0,,2,2,14.0,8,7,8
55.0,No,Non-Travel,444,Research & Development,2,1.0,Medical,1,1074,,Male,40,2,4,Manager,1.0,,,17323,7,Y,No,15,3.0,2,80,0,31.0,3,4,9.0,7,6,2
,No,Travel_Rarely,415,Sales,25,3.0,Medical,1,1076,,Male,79,2,3,Sales Executive,4.0,Divorced,,5268,5,Y,No,13,3.0,3,80,1,18.0,5,3,1.0,0,0,0
20.0,,Travel_Frequently,769,,9,3.0,Marketing,1,1077,4.0,Female,54,3,1,Sales Representative,4.0,Single,2323.0,17205,1,Y,Yes,14,,2,80,0,2.0,3,3,2.0,2,0,2
,Yes,Travel_Rarely,1334,,10,,Life Sciences,1,1079,,Female,36,2,1,,1.0,,1416.0,17258,1,Y,No,13,3.0,1,80,0,1.0,6,2,,0,1,0
46.0,No,Travel_Rarely,1003,Research & Development,8,4.0,Life Sciences,1,1080,,Female,74,2,2,Research Scientist,1.0,Divorced,,21029,8,Y,Yes,23,4.0,1,80,3,,2,3,16.0,13,1,7
51.0,Yes,Travel_Rarely,1323,Research & Development,4,4.0,Life Sciences,1,1081,1.0,Male,34,3,1,Research Scientist,3.0,Married,,10332,9,Y,Yes,12,3.0,3,80,3,,2,4,10.0,0,2,7
28.0,,Non-Travel,1366,Research & Development,24,,Technical Degree,1,1082,2.0,Male,72,2,3,Healthcare Representative,,,8722.0,12355,1,Y,No,12,3.0,1,80,0,10.0,2,2,,7,1,9
26.0,,Travel_Rarely,192,,1,2.0,Medical,1,1083,,Male,59,2,1,,1.0,Married,3955.0,11141,1,Y,No,16,3.0,1,80,2,,2,3,,3,1,3
30.0,No,Travel_Rarely,1176,,20,,Other,1,1084,,Male,85,3,2,Manufacturing Director,1.0,Married,9957.0,9096,0,Y,No,15,3.0,3,80,1,,1,2,6.0,2,0,2
41.0,,Travel_Rarely,509,Research & Development,7,2.0,Technical Degree,1,1085,2.0,Female,43,4,1,Research Scientist,,,,18863,1,Y,No,13,3.0,3,80,0,,3,3,10.0,6,0,8
,No,Travel_Rarely,330,Research & Development,17,1.0,Life Sciences,1,1088,3.0,Female,65,2,3,,3.0,,8823.0,24608,0,Y,No,18,,1,80,1,,4,2,19.0,9,1,9
,No,Travel_Rarely,1492,Research & Development,20,,Technical Degree,1,1092,,Male,61,3,3,Healthcare Representative,4.0,Married,10322.0,26542,4,Y,No,20,,4,80,1,14.0,6,3,11.0,10,11,1
27.0,,Non-Travel,1277,Research & Development,8,,Life Sciences,1,1094,1.0,Male,87,1,1,,3.0,Married,4621.0,5869,1,Y,No,19,,4,80,3,,4,3,,2,1,2
55.0,No,Travel_Frequently,1091,Research & Development,2,1.0,Life Sciences,1,1096,4.0,Male,65,3,3,Manufacturing Director,2.0,,10976.0,15813,3,Y,No,18,3.0,2,80,1,23.0,4,3,,2,1,2
28.0,No,Travel_Rarely,857,,10,3.0,Other,1,1097,,Female,59,3,2,Research Scientist,,Single,,7909,3,Y,No,13,3.0,4,80,0,,4,4,8.0,7,1,7
44.0,Yes,Travel_Rarely,1376,Human Resources,1,,Medical,1,1098,2.0,Male,91,2,3,Human Resources,,,10482.0,2326,9,Y,No,14,,4,80,1,,1,3,,6,3,6
33.0,No,Travel_Rarely,654,Research & Development,5,,Life Sciences,1,1099,4.0,Male,34,2,3,Healthcare Representative,,Divorced,7119.0,21214,4,Y,No,15,,3,80,1,,2,3,3.0,2,1,2
35.0,,Travel_Rarely,1204,,4,3.0,Technical Degree,1,1100,4.0,Male,86,3,3,Sales Executive,,,9582.0,10333,0,Y,Yes,22,,1,80,0,9.0,2,3,8.0,7,4,7
33.0,,Travel_Frequently,827,Research & Development,29,,Medical,1,1101,1.0,Female,54,2,2,Research Scientist,,Single,4508.0,3129,1,Y,No,22,4.0,2,80,0,,4,3,13.0,7,3,8
28.0,No,Travel_Rarely,895,Research & Development,15,,Life Sciences,1,1102,,Male,50,3,1,Laboratory Technician,3.0,Divorced,,22482,1,Y,No,16,,4,80,1,4.0,5,2,,2,2,2
,No,Travel_Frequently,618,Research & Development,3,,Life Sciences,1,1103,,Male,45,3,2,,4.0,Single,7756.0,22266,0,Y,No,17,3.0,3,80,0,7.0,1,2,6.0,2,0,4
37.0,No,Travel_Rarely,309,,10,4.0,Life Sciences,1,1105,4.0,Female,88,2,2,,4.0,Divorced,6694.0,24223,2,Y,Yes,14,3.0,3,80,3,8.0,5,3,,0,0,0
25.0,Yes,Travel_Rarely,1219,Research & Development,4,1.0,Technical Degree,1,1106,4.0,Male,32,3,1,,4.0,,3691.0,4605,1,Y,Yes,15,3.0,2,80,1,7.0,3,4,7.0,7,5,6
26.0,,Travel_Rarely,1330,Research & Development,21,3.0,Medical,1,1107,1.0,Male,37,3,1,,3.0,Divorced,,19373,1,Y,No,20,4.0,3,80,1,1.0,0,2,,1,0,0
,Yes,Travel_Rarely,1017,Research & Development,25,3.0,Medical,1,1108,,Male,55,2,1,Research Scientist,,,2313.0,2993,4,Y,Yes,20,,2,80,0,,0,3,2.0,2,2,2
,,Travel_Rarely,469,Research & Development,2,,Medical,1,1109,4.0,Male,35,3,4,,,Married,17665.0,14399,0,Y,No,17,3.0,4,80,1,23.0,3,3,,6,13,7
28.0,Yes,Travel_Frequently,1009,,1,3.0,Medical,1,1111,1.0,Male,45,2,1,Laboratory Technician,2.0,,,7160,1,Y,No,15,3.0,1,80,2,,2,3,1.0,0,0,0
50.0,Yes,Travel_Frequently,959,Sales,1,4.0,Other,1,1113,,Male,81,3,2,Sales Executive,3.0,Single,4728.0,17251,3,Y,Yes,14,3.0,4,80,0,,4,3,,0,0,0
,No,Travel_Frequently,970,Sales,7,,Life Sciences,1,1114,4.0,Female,30,3,2,Sales Executive,2.0,Married,,13401,0,Y,No,17,3.0,3,80,1,,3,3,,2,0,2
34.0,,Non-Travel,697,Research & Development,3,4.0,Life Sciences,1,1115,3.0,Male,40,2,1,Research Scientist,4.0,Married,2979.0,22478,3,Y,No,17,,4,80,3,6.0,2,3,,0,0,0
,,Non-Travel,1262,Research & Development,1,4.0,Medical,1,1116,,Male,35,4,4,,4.0,,,16154,2,Y,No,22,4.0,3,80,0,,3,2,,4,2,1
45.0,No,Non-Travel,1050,Sales,9,4.0,Life Sciences,1,1117,,Female,65,2,2,Sales Executive,3.0,Married,5593.0,17970,1,Y,No,13,,4,80,1,,2,3,15.0,10,4,12
52.0,,Travel_Rarely,994,Research & Development,7,,Life Sciences,1,1118,2.0,Male,87,3,3,Healthcare Representative,,Single,,15322,7,Y,No,19,3.0,4,80,0,18.0,4,3,,6,4,0
38.0,,Travel_Rarely,770,Sales,10,,Marketing,1,1119,,Male,73,2,3,Sales Executive,,Divorced,8740.0,5569,0,Y,Yes,14,3.0,2,80,2,9.0,2,3,8.0,7,2,7
29.0,No,Travel_Rarely,1107,Research & Development,28,,Life Sciences,1,1120,3.0,Female,93,3,1,,,Divorced,2514.0,26968,4,Y,No,22,4.0,1,80,1,,1,3,,5,1,7
,No,Travel_Rarely,950,,3,3.0,Medical,1,1121,4.0,Female,93,3,3,Manufacturing Director,2.0,Divorced,7655.0,8039,0,Y,No,17,,2,80,3,10.0,3,2,9.0,7,1,7
,,Travel_Rarely,406,Sales,3,1.0,Marketing,1,1124,1.0,Male,52,3,4,,,Married,,15596,3,Y,No,12,3.0,4,80,1,23.0,3,3,12.0,9,4,9
38.0,No,Travel_Rarely,130,Sales,2,2.0,Marketing,1,1125,,Male,32,3,3,Sales Executive,,,,20619,7,Y,No,16,3.0,3,80,0,,2,3,,0,0,0
,No,Travel_Frequently,1082,Research & Development,27,,Life Sciences,1,1126,,Female,83,3,3,Manufacturing Director,1.0,,,11535,8,Y,No,11,3.0,3,80,1,18.0,1,3,8.0,7,0,1
39.0,Yes,Travel_Frequently,203,Research & Development,2,3.0,Life Sciences,1,1127,1.0,Male,84,3,4,,4.0,Divorced,12169.0,13547,7,Y,No,11,3.0,4,80,3,21.0,4,3,,7,11,5
40.0,No,Travel_Rarely,1308,,14,3.0,Medical,1,1128,,Male,44,2,5,,3.0,Single,19626.0,17544,1,Y,No,14,,1,80,0,,2,4,,7,4,9
,No,Travel_Rarely,984,Research & Development,1,,Technical Degree,1,1131,4.0,Female,70,2,1,Research Scientist,2.0,Single,2070.0,25326,1,Y,Yes,11,3.0,3,80,0,2.0,6,4,,2,2,2
39.0,No,Non-Travel,439,Research & Development,9,3.0,Life Sciences,1,1132,3.0,Male,70,3,2,,2.0,,,8770,9,Y,No,15,,3,80,0,9.0,2,2,,4,0,3
,,Non-Travel,217,,18,4.0,Life Sciences,1,1133,1.0,Male,78,3,2,,,Single,7779.0,23238,2,Y,No,20,4.0,1,80,0,18.0,0,3,11.0,9,0,9
31.0,,Travel_Frequently,793,Sales,20,,Life Sciences,1,1135,,Male,67,4,1,Sales Representative,,Married,2791.0,21981,0,Y,No,12,3.0,1,80,1,3.0,4,3,,2,2,2
28.0,No,Travel_Rarely,1451,,2,1.0,Life Sciences,1,1136,,Male,67,2,1,Research Scientist,,,,19911,0,Y,No,17,3.0,1,80,0,,2,1,,3,0,4
35.0,No,Travel_Frequently,1182,Sales,11,,Marketing,1,1137,4.0,Male,54,3,2,,4.0,Divorced,,18500,1,Y,No,11,,4,80,1,,3,3,5.0,2,0,2
,No,Travel_Rarely,174,Sales,8,,Technical Degree,1,1138,4.0,Male,56,2,4,Sales Executive,,Married,13120.0,11879,6,Y,No,17,3.0,2,80,1,22.0,3,3,,8,2,3
34.0,No,Travel_Frequently,1003,Research & Development,2,,Life Sciences,1,1140,4.0,Male,95,3,2,,,,,15834,2,Y,No,11,,4,80,0,,3,2,3.0,2,0,2
,No,Travel_Frequently,490,Research & Development,10,,Life Sciences,1,1143,4.0,Female,61,3,1,,2.0,Divorced,,17940,0,Y,No,14,,4,80,2,,2,2,,5,1,1
,,Travel_Rarely,188,Research & Development,29,,Medical,1,1148,2.0,Male,56,1,2,,,Single,4272.0,9558,4,Y,No,19,3.0,1,80,0,16.0,3,3,1.0,0,0,0
29.0,,Travel_Rarely,718,Research & Development,8,,Medical,1,1150,2.0,Male,79,2,2,Manufacturing Director,,Married,,17689,1,Y,Yes,15,3.0,3,80,1,10.0,2,2,10.0,7,1,2
38.0,No,Travel_Rarely,433,Human Resources,1,3.0,Human Resources,1,1152,3.0,Male,37,4,1,Human Resources,3.0,,2844.0,6004,1,Y,No,13,3.0,4,80,1,,2,4,7.0,6,5,0
,No,Travel_Frequently,773,,6,,Life Sciences,1,1154,,Male,39,2,1,Research Scientist,3.0,Divorced,,22088,1,Y,Yes,14,,4,80,1,,2,3,3.0,1,0,2
18.0,,Non-Travel,247,Research & Development,8,,Medical,1,1156,,Male,80,3,1,Laboratory Technician,,Single,,13556,1,Y,No,12,3.0,4,80,0,0.0,0,3,,0,0,0
33.0,Yes,Travel_Rarely,603,,9,4.0,Marketing,1,1157,,Female,77,3,2,,1.0,,8224.0,18385,0,Y,Yes,17,3.0,1,80,0,6.0,3,3,,2,0,3
41.0,,Travel_Rarely,167,Research & Development,12,4.0,Life Sciences,1,1158,,Male,46,3,1,Laboratory Technician,4.0,Married,,9051,3,Y,Yes,11,3.0,1,80,1,6.0,4,3,1.0,0,0,0
,Yes,Travel_Frequently,874,,15,3.0,Medical,1,1160,3.0,Male,72,3,1,Laboratory Technician,3.0,Married,2610.0,6233,1,Y,No,12,,3,80,1,2.0,5,2,,2,2,2
,No,Travel_Rarely,367,Research & Development,25,,Medical,1,1161,3.0,Female,52,2,2,Healthcare Representative,,Divorced,,17171,7,Y,No,13,,3,80,2,,2,3,6.0,2,1,3
,No,Travel_Rarely,199,,6,3.0,Life Sciences,1,1162,,Male,55,2,1,,,,2539.0,7950,1,Y,No,13,,3,80,1,4.0,0,3,,2,2,2
34.0,,Travel_Rarely,1400,Sales,9,1.0,Life Sciences,1,1163,2.0,Female,70,3,2,,3.0,Married,,5829,1,Y,No,20,4.0,1,80,0,6.0,3,2,,5,1,3
,No,Travel_Rarely,528,Human Resources,8,4.0,Technical Degree,1,1164,,Male,100,3,1,Human Resources,,Single,4323.0,7108,1,Y,No,17,3.0,2,80,0,,2,1,5.0,4,1,4
29.0,Yes,Travel_Rarely,408,Sales,23,,Life Sciences,1,1165,4.0,Female,45,2,3,Sales Executive,,,,11162,1,Y,No,13,,1,80,1,11.0,3,1,11.0,8,3,10
40.0,No,Travel_Frequently,593,Research & Development,9,4.0,Medical,1,1166,2.0,Female,88,3,3,,3.0,Single,13499.0,13782,9,Y,No,17,3.0,3,80,0,20.0,3,2,,7,2,13
42.0,,Travel_Frequently,481,,12,3.0,Life Sciences,1,1167,,Male,44,3,4,,,Single,13758.0,2447,0,Y,Yes,12,,2,80,0,22.0,2,2,,9,13,14
42.0,,Travel_Rarely,647,Sales,4,4.0,Marketing,1,1171,,Male,45,3,2,Sales Executive,1.0,,5155.0,2253,7,Y,No,13,3.0,4,80,0,9.0,3,4,6.0,4,1,5
35.0,No,Travel_Rarely,982,Research & Development,1,,Medical,1,1172,,Male,58,2,1,,3.0,,2258.0,16340,6,Y,No,12,3.0,2,80,1,,2,3,8.0,0,1,7
24.0,No,Travel_Rarely,477,Research & Development,24,,Medical,1,1173,4.0,Male,49,3,1,Laboratory Technician,2.0,,3597.0,6409,8,Y,No,22,4.0,4,80,0,,2,3,4.0,3,1,2
,Yes,Travel_Rarely,1485,Research & Development,12,1.0,Life Sciences,1,1175,3.0,Female,79,3,1,Laboratory Technician,4.0,Married,2515.0,22955,1,Y,Yes,11,3.0,4,80,0,,4,2,1.0,1,0,0
26.0,,Travel_Rarely,1384,Research & Development,3,,Medical,1,1177,1.0,Male,82,4,1,Laboratory Technician,,Married,4420.0,13421,1,Y,No,22,,2,80,1,8.0,2,3,,7,0,7
,No,Travel_Rarely,852,,10,,Marketing,1,1179,3.0,Male,72,2,2,Sales Executive,3.0,Married,6578.0,2706,1,Y,No,18,,1,80,1,,3,3,10.0,3,1,4
40.0,No,Travel_Frequently,902,,26,,Medical,1,1180,3.0,Female,92,2,2,Research Scientist,,Married,4422.0,21203,3,Y,Yes,13,3.0,4,80,1,,3,1,,1,0,0
35.0,No,Travel_Rarely,819,,2,,Life Sciences,1,1182,,Male,44,2,3,,2.0,Divorced,,19588,2,Y,No,18,3.0,2,80,1,,2,4,7.0,7,6,4
34.0,,Travel_Frequently,669,Research & Development,1,3.0,Medical,1,1184,,Male,97,2,2,,1.0,Single,5343.0,25755,0,Y,No,20,4.0,3,80,0,14.0,3,3,,9,4,9
35.0,No,Travel_Frequently,636,,4,4.0,Other,1,1185,4.0,Male,47,2,1,Laboratory Technician,4.0,Married,,26537,1,Y,No,13,3.0,2,80,1,2.0,2,4,2.0,2,2,2
,,Travel_Rarely,1372,Sales,9,3.0,Marketing,1,1188,,Female,85,1,2,,,Single,,9489,8,Y,No,13,3.0,2,80,0,7.0,2,2,4.0,3,1,3
32.0,,Non-Travel,862,Sales,2,1.0,Life Sciences,1,1190,3.0,Female,76,3,1,Sales Representative,1.0,,2827.0,14947,1,Y,No,12,3.0,3,80,3,1.0,3,3,1.0,0,0,0
,No,Travel_Rarely,718,Research & Development,4,,Technical Degree,1,1191,,Female,92,3,5,Manager,1.0,Divorced,19943.0,18575,4,Y,No,13,3.0,4,80,1,,2,3,5.0,2,4,2
,,Travel_Rarely,1401,Research & Development,6,1.0,Medical,1,1192,2.0,Female,54,3,1,Laboratory Technician,4.0,Married,,26342,1,Y,No,13,,1,80,1,,5,3,10.0,8,0,8
19.0,,Travel_Rarely,645,Research & Development,9,2.0,Life Sciences,1,1193,3.0,Male,54,3,1,Research Scientist,1.0,,2552.0,7172,1,Y,No,25,4.0,3,80,0,,4,3,1.0,1,0,0
,No,Travel_Rarely,1457,,7,,Medical,1,1195,1.0,Female,83,3,1,,3.0,Married,4477.0,20100,4,Y,Yes,19,3.0,3,80,1,,2,2,,2,0,2
37.0,,Travel_Rarely,977,,1,3.0,Life Sciences,1,1196,,Female,56,2,2,,4.0,Married,,9961,1,Y,No,13,3.0,2,80,1,14.0,2,2,,8,3,11
20.0,,Travel_Rarely,805,,3,3.0,Life Sciences,1,1198,1.0,Male,87,2,1,Laboratory Technician,3.0,Single,3033.0,12828,1,Y,No,12,3.0,1,80,0,2.0,2,2,,2,1,2
,,Travel_Rarely,1097,Research & Development,10,4.0,Life Sciences,1,1200,,Male,96,3,1,Research Scientist,,,,10826,1,Y,Yes,11,3.0,3,80,0,,4,3,,4,0,2
53.0,No,Travel_Rarely,1223,,7,2.0,Medical,1,1201,4.0,Female,50,3,5,Manager,3.0,,18606.0,18640,3,Y,No,18,,2,80,1,26.0,6,3,,7,4,7
29.0,No,Travel_Rarely,942,Research & Development,15,1.0,Life Sciences,1,1202,2.0,Female,69,1,1,Research Scientist,,,2168.0,26933,0,Y,Yes,18,3.0,1,80,1,,2,2,5.0,4,1,3
22.0,Yes,Travel_Frequently,1256,Research & Development,3,4.0,Life Sciences,1,1203,3.0,Male,48,2,1,Research Scientist,,,2853.0,4223,0,Y,Yes,11,3.0,2,80,1,,5,3,0.0,0,0,0
46.0,,Travel_Rarely,1402,Sales,2,3.0,Marketing,1,1204,,Female,69,3,4,Manager,1.0,,17048.0,24097,8,Y,No,23,4.0,1,80,0,28.0,2,3,26.0,15,15,9
44.0,No,Non-Travel,111,Research & Development,17,,Life Sciences,1,1206,4.0,Male,74,1,1,,3.0,,2290.0,4279,2,Y,No,13,,4,80,0,,3,3,0.0,0,0,0
,,Travel_Rarely,147,,2,,Human Resources,1,1207,2.0,Male,99,3,1,,3.0,Married,3600.0,8429,1,Y,No,13,3.0,4,80,1,5.0,2,3,5.0,4,1,4
,Yes,Non-Travel,906,,5,2.0,Life Sciences,1,1210,1.0,Male,95,2,1,Research Scientist,1.0,,2107.0,20293,6,Y,No,17,3.0,1,80,1,5.0,2,1,,0,0,0
,No,Travel_Rarely,1329,Sales,29,,Life Sciences,1,1211,,Male,61,3,2,,1.0,Divorced,4115.0,13192,8,Y,No,19,,3,80,3,8.0,3,3,4.0,3,0,3
40.0,,Travel_Frequently,1184,,2,,Medical,1,1212,2.0,Male,62,3,2,Sales Executive,,,4327.0,25440,5,Y,No,12,3.0,4,80,3,5.0,2,3,,0,0,0
,No,Travel_Frequently,1421,,2,,Medical,1,1215,,Female,30,3,4,Manager,1.0,,17856.0,9490,2,Y,No,22,4.0,3,80,1,32.0,3,3,2.0,2,2,2
,No,Travel_Rarely,1179,Research & Development,19,4.0,Medical,1,1216,4.0,Male,78,2,1,Laboratory Technician,1.0,Married,3196.0,12449,1,Y,No,12,3.0,3,80,3,6.0,2,3,6.0,5,3,3
46.0,No,Travel_Rarely,1450,,15,2.0,Life Sciences,1,1217,,Male,52,3,5,,,,19081.0,10849,5,Y,No,11,3.0,1,80,1,25.0,2,3,4.0,2,0,3
35.0,,Travel_Rarely,1361,Sales,17,,Life Sciences,1,1218,3.0,Male,94,3,2,Sales Executive,1.0,Married,,21026,3,Y,Yes,15,3.0,4,80,3,15.0,2,3,7.0,7,1,7
,Yes,Travel_Rarely,984,Research & Development,17,2.0,Life Sciences,1,1219,,Female,97,3,1,Laboratory Technician,,,2210.0,3372,1,Y,No,13,,1,80,1,,3,1,1.0,0,0,0
,No,Travel_Frequently,1146,Sales,25,,Medical,1,1220,2.0,Female,82,3,2,Sales Executive,,,4539.0,4905,1,Y,No,12,3.0,1,80,1,,3,2,10.0,7,0,1
,No,Travel_Rarely,917,Research & Development,6,4.0,Life Sciences,1,1221,,Male,60,1,1,Laboratory Technician,,,2741.0,6865,1,Y,No,14,3.0,3,80,1,,4,3,,7,1,7
,,Travel_Rarely,853,,7,4.0,Life Sciences,1,1224,3.0,Male,49,3,2,,3.0,Divorced,,11309,1,Y,No,13,3.0,1,80,3,10.0,4,2,10.0,7,8,9
,No,Travel_Rarely,200,Research & Development,29,,Other,1,1225,4.0,Male,32,3,2,,4.0,Single,,7744,1,Y,No,25,4.0,2,80,0,20.0,3,3,20.0,11,13,17
20.0,No,Travel_Rarely,654,,21,3.0,Marketing,1,1226,3.0,Male,43,4,1,,4.0,,,5050,1,Y,No,17,3.0,4,80,0,,2,3,2.0,1,2,2
46.0,,Travel_Rarely,150,,2,,Technical Degree,1,1228,4.0,Male,60,3,2,Manufacturing Director,4.0,Divorced,7379.0,17433,2,Y,No,11,,3,80,1,,3,2,6.0,3,1,4
42.0,No,Non-Travel,179,Human Resources,2,5.0,Medical,1,1231,,Male,79,4,2,Human Resources,1.0,,6272.0,12858,7,Y,No,16,3.0,1,80,1,,3,4,,3,0,3
60.0,No,Travel_Rarely,696,,7,4.0,Marketing,1,1233,2.0,Male,52,4,2,Sales Executive,4.0,,,10893,0,Y,Yes,18,3.0,2,80,1,,3,3,11.0,7,1,9
32.0,No,Travel_Frequently,116,,13,,Other,1,1234,,Female,77,2,1,Laboratory Technician,,,,7331,1,Y,No,20,4.0,3,80,1,,2,3,,2,2,2
,No,Travel_Frequently,1316,,2,2.0,Life Sciences,1,1235,,Female,38,3,2,,3.0,Single,4998.0,2338,4,Y,Yes,14,,4,80,0,10.0,2,3,8.0,7,0,7
36.0,,Travel_Rarely,363,,1,3.0,Technical Degree,1,1237,3.0,Female,77,1,3,,1.0,,10252.0,4235,2,Y,Yes,21,,3,80,1,,2,3,,7,7,7
,,Travel_Rarely,117,Research & Development,9,,Medical,1,1238,1.0,Male,60,3,1,,,Married,2781.0,6311,0,Y,No,13,3.0,2,80,1,15.0,5,3,,10,4,10
40.0,No,Travel_Rarely,107,Sales,10,3.0,Technical Degree,1,1239,,Female,84,2,2,Sales Executive,,,6852.0,11591,7,Y,No,12,,2,80,1,,2,4,,1,1,3
,No,Travel_Rarely,1356,Sales,10,4.0,Life Sciences,1,1240,3.0,Male,57,3,2,Sales Executive,4.0,Single,,20623,0,Y,No,14,3.0,2,80,0,5.0,4,3,4.0,3,1,1
30.0,,Travel_Rarely,1465,Research & Development,1,3.0,Medical,1,1241,4.0,Male,63,3,1,Research Scientist,2.0,Married,3579.0,9369,0,Y,Yes,21,4.0,1,80,1,12.0,2,3,,9,5,7
,No,Travel_Frequently,458,Research & Development,26,5.0,Medical,1,1242,1.0,Female,60,3,3,Research Director,1.0,,13191.0,23281,3,Y,Yes,17,3.0,3,80,0,20.0,6,3,1.0,0,0,0
35.0,,Non-Travel,1212,,8,2.0,Marketing,1,1243,,Female,78,2,3,Sales Executive,,Married,10377.0,13755,4,Y,Yes,11,,2,80,1,,6,2,,2,4,12
27.0,,Travel_Rarely,1103,,14,,Life Sciences,1,1244,,Male,42,3,1,,1.0,Married,2235.0,14377,1,Y,Yes,14,3.0,4,80,2,9.0,3,2,9.0,7,6,8
54.0,No,Travel_Frequently,966,Research & Development,1,,Life Sciences,1,1245,4.0,Female,53,3,3,,3.0,Divorced,,9659,7,Y,No,17,3.0,1,80,1,33.0,2,1,,4,1,4
